4. Zeile und 48.Spalte, Wert:32330.13703090474
4. Zeile und 49.Spalte, Wert:32351.24966698548
4. Zeile und 50.Spalte, Wert:31915.91430220105
4. Zeile und 51.Spalte, Wert:32269.84142931607
4. Zeile und 52.Spalte, Wert:31594.97544939455
4. Zeile und 53.Spalte, Wert:31726.313676019356
4. Zeile und 54.Spalte, Wert:32070.743407945334
4. Zeile und 55.Spalte, Wert:32013.399307329815
4. Zeile und 56.Spalte, Wert:31726.297001240808
4. Zeile und 57.Spalte, Wert:31724.985119287503
4. Zeile und 58.Spalte, Wert:31789.023903729278
4. Zeile und 59.Spalte, Wert:31535.32517654903
4. Zeile und 60.Spalte, Wert:31785.061690036728
4. Zeile und 61.Spalte, Wert:31698.497877349982
4. Zeile und 62.Spalte, Wert:31968.535784596617
4. Zeile und 63.Spalte, Wert:31717.53767103461
4. Zeile und 64.Spalte, Wert:31841.943558882434
4. Zeile und 65.Spalte, Wert:31918.8546160903
4. Zeile und 66.Spalte, Wert:32034.374514302723
4. Zeile und 67.Spalte, Wert:32319.22707751904
4. Zeile und 68.Spalte, Wert:31954.871644623116
4. Zeile und 69.Spalte, Wert:32137.43309814791
4. Zeile und 70.Spalte, Wert:32045.744535382644
4. Zeile und 71.Spalte, Wert:32136.140798065
4. Zeile und 72.Spalte, Wert:31713.68592339501
4. Zeile und 73.Spalte, Wert:31882.594921060947
4. Zeile und 74.Spalte, Wert:32122.141454520082
4. Zeile und 75.Spalte, Wert:31903.34891846667
4. Zeile und 76.Spalte, Wert:32087.762672950106
4. Zeile und 77.Spalte, Wert:31987.629110013564
4. Zeile und 78.Spalte, Wert:32010.465819269142
4. Zeile und 79.Spalte, Wert:31556.89921012072
4. Zeile und 80.Spalte, Wert:32129.50581174138
4. Zeile und 81.Spalte, Wert:31998.462531926565
4. Zeile und 82.Spalte, Wert:32047.433282996022
4. Zeile und 83.Spalte, Wert:31484.42943111401
4. Zeile und 84.Spalte, Wert:31771.786804891974
4. Zeile und 85.Spalte, Wert:31559.088680900477
4. Zeile und 86.Spalte, Wert:32083.427558426698
4. Zeile und 87.Spalte, Wert:32265.023173753754
4. Zeile und 88.Spalte, Wert:32022.101368210584
4. Zeile und 89.Spalte, Wert:31906.655443512787
4. Zeile und 90.Spalte, Wert:31696.250784291744
4. Zeile und 91.Spalte, Wert:31761.16994215301
4. Zeile und 92.Spalte, Wert:31716.304816420306
4. Zeile und 93.Spalte, Wert:32118.142592698554
4. Zeile und 94.Spalte, Wert:31712.76866935389
4. Zeile und 95.Spalte, Wert:32307.11132698716
4. Zeile und 96.Spalte, Wert:32058.772348766972
4. Zeile und 97.Spalte, Wert:31933.299823692156
4. Zeile und 98.Spalte, Wert:32100.091881722758
4. Zeile und 99.Spalte, Wert:31755.11688591139
4. Zeile und 100.Spalte, Wert:31926.94686156577
5. Zeile und 0.Spalte, Wert:31940.314777792668
5. Zeile und 1.Spalte, Wert:31851.232158793217
5. Zeile und 2.Spalte, Wert:31929.862912515906
5. Zeile und 3.Spalte, Wert:31852.089416366205
5. Zeile und 4.Spalte, Wert:31804.96108661537
5. Zeile und 5.Spalte, Wert:31855.688551606716
5. Zeile und 6.Spalte, Wert:32181.65027347429
5. Zeile und 7.Spalte, Wert:32208.322731207176
5. Zeile und 8.Spalte, Wert:31989.982667618806
5. Zeile und 9.Spalte, Wert:32081.74851316873
5. Zeile und 10.Spalte, Wert:32451.075900910804
5. Zeile und 11.Spalte, Wert:32185.57578546851
5. Zeile und 12.Spalte, Wert:35656.667379159335
